
活动连接

  协议  本地地址          外部地址        状态           PID
  TCP    10.0.24.15:51313       13.249.146.128:443     CLOSE_WAIT      5832
  TCP    10.0.24.15:52106       18.65.185.26:443       CLOSE_WAIT      5832
  TCP    10.0.24.15:52110       18.65.185.26:443       CLOSE_WAIT      5832
  TCP    10.0.24.15:52113       18.65.185.26:443       CLOSE_WAIT      5832
  TCP    10.0.24.15:52116       18.65.185.26:443       CLOSE_WAIT      5832
  TCP    10.0.24.15:52119       18.65.185.26:443       CLOSE_WAIT      5832
  TCP    10.0.24.15:52122       18.65.185.26:443       CLOSE_WAIT      5832
  TCP    10.0.24.15:52689       13.249.167.78:443      CLOSE_WAIT      5832
  TCP    10.0.24.15:52692       13.249.167.78:443      CLOSE_WAIT      5832
  TCP    10.0.24.15:52695       13.249.167.78:443      CLOSE_WAIT      5832
  TCP    10.0.24.15:52698       13.249.167.78:443      CLOSE_WAIT      5832
  TCP    10.0.24.15:52701       13.249.167.78:443      CLOSE_WAIT      5832
  TCP    10.0.24.15:52704       13.249.167.78:443      CLOSE_WAIT      5832
  TCP    10.0.24.15:53025       13.225.173.88:443      CLOSE_WAIT      5832
  TCP    10.0.24.15:53028       13.225.173.88:443      CLOSE_WAIT      5832
  TCP    10.0.24.15:54076       13.249.167.127:443     CLOSE_WAIT      5832
  TCP    10.0.24.15:54132       143.204.126.34:443     CLOSE_WAIT      5832
  TCP    10.0.24.15:54135       143.204.126.34:443     CLOSE_WAIT      5832
  TCP    10.0.24.15:54140       143.204.126.75:443     CLOSE_WAIT      5832
  TCP    10.0.24.15:56226       13.224.141.109:443     CLOSE_WAIT      5832
  TCP    10.0.24.15:56229       13.224.141.109:443     CLOSE_WAIT      5832
  TCP    10.0.24.15:57048       169.254.0.55:5574      ESTABLISHED     84
  TCP    10.0.24.15:57073       13.249.167.13:443      CLOSE_WAIT      5832
  TCP    10.0.24.15:57076       13.249.167.13:443      CLOSE_WAIT      5832
  TCP    10.0.24.15:57079       13.249.167.13:443      CLOSE_WAIT      5832
  TCP    10.0.24.15:57082       13.249.167.13:443      CLOSE_WAIT      5832
  TCP    10.0.24.15:57085       13.249.167.13:443      CLOSE_WAIT      5832
  TCP    10.0.24.15:57089       13.249.167.13:443      CLOSE_WAIT      5832
  TCP    10.0.24.15:58442       18.65.185.26:443       CLOSE_WAIT      5832
  TCP    10.0.24.15:58445       18.65.185.26:443       CLOSE_WAIT      5832
  TCP    10.0.24.15:58450       18.65.185.26:443       CLOSE_WAIT      5832
  TCP    10.0.24.15:58454       18.65.185.26:443       CLOSE_WAIT      5832
  TCP    10.0.24.15:58457       18.65.185.26:443       CLOSE_WAIT      5832
  TCP    10.0.24.15:58460       18.65.185.26:443       CLOSE_WAIT      5832
  TCP    10.0.24.15:59691       18.65.185.27:443       CLOSE_WAIT      5832
  TCP    10.0.24.15:59694       18.65.185.27:443       CLOSE_WAIT      5832
  TCP    10.0.24.15:60078       13.225.173.70:443      CLOSE_WAIT      5832
  TCP    10.0.24.15:60081       13.225.173.70:443      CLOSE_WAIT      5832
  TCP    10.0.24.15:60084       65.9.42.117:443        CLOSE_WAIT      5832
  TCP    10.0.24.15:60451       13.249.167.127:443     CLOSE_WAIT      5832
  TCP    10.0.24.15:60454       13.249.167.127:443     CLOSE_WAIT      5832
  TCP    10.0.24.15:60457       65.9.42.117:443        CLOSE_WAIT      5832
  TCP    10.0.24.15:60784       13.225.165.10:443      TIME_WAIT       0
  TCP    10.0.24.15:60785       13.225.165.10:443      TIME_WAIT       0
  TCP    10.0.24.15:60797       169.254.0.203:80       TIME_WAIT       0
  TCP    10.0.24.15:60829       169.254.0.203:80       TIME_WAIT       0
  TCP    10.0.24.15:60833       169.254.0.203:80       ESTABLISHED     2124
  TCP    10.0.24.15:61503       13.225.173.117:443     CLOSE_WAIT      5832
  TCP    10.0.24.15:61506       13.225.173.117:443     CLOSE_WAIT      5832
  TCP    10.0.24.15:61509       13.225.173.117:443     CLOSE_WAIT      5832
  TCP    10.0.24.15:61512       13.225.173.117:443     CLOSE_WAIT      5832
  TCP    10.0.24.15:61515       13.225.173.117:443     CLOSE_WAIT      5832
  TCP    10.0.24.15:61518       13.225.173.117:443     CLOSE_WAIT      5832
  TCP    10.0.24.15:61932       18.65.185.26:443       CLOSE_WAIT      5832
  TCP    10.0.24.15:61935       18.65.185.26:443       CLOSE_WAIT      5832
  TCP    10.0.24.15:61938       13.35.49.4:443         CLOSE_WAIT      5832
  TCP    10.0.24.15:62690       13.35.49.22:443        CLOSE_WAIT      5832
  TCP    10.0.24.15:62823       18.65.185.26:443       CLOSE_WAIT      5832
  TCP    10.0.24.15:62826       18.65.185.26:443       CLOSE_WAIT      5832
  TCP    10.0.24.15:62829       18.65.185.26:443       CLOSE_WAIT      5832
  TCP    10.0.24.15:62832       18.65.185.26:443       CLOSE_WAIT      5832
  TCP    10.0.24.15:63075       13.224.141.109:443     CLOSE_WAIT      5832
  TCP    10.0.24.15:63078       13.224.141.109:443     CLOSE_WAIT      5832
  TCP    10.0.24.15:63081       13.224.141.109:443     CLOSE_WAIT      5832
  TCP    10.0.24.15:63084       13.224.141.109:443     CLOSE_WAIT      5832
  TCP    10.0.24.15:63087       13.224.141.109:443     CLOSE_WAIT      5832
  TCP    10.0.24.15:63918       13.249.167.13:443      CLOSE_WAIT      5832
  TCP    10.0.24.15:63922       13.249.167.13:443      CLOSE_WAIT      5832
  TCP    10.0.24.15:63925       13.249.167.13:443      CLOSE_WAIT      5832
  TCP    10.0.24.15:64064       18.65.185.95:443       CLOSE_WAIT      5832
  TCP    10.0.24.15:64070       18.65.185.95:443       CLOSE_WAIT      5832
  TCP    10.0.24.15:64073       18.65.185.95:443       CLOSE_WAIT      5832
  TCP    10.0.24.15:64076       18.65.185.95:443       CLOSE_WAIT      5832
  TCP    10.0.24.15:64079       18.65.185.95:443       CLOSE_WAIT      5832
  TCP    10.0.24.15:64082       18.65.185.95:443       CLOSE_WAIT      5832
  TCP    10.0.24.15:64464       13.249.167.13:443      CLOSE_WAIT      5832
  TCP    10.0.24.15:64467       13.249.167.13:443      CLOSE_WAIT      5832
  TCP    10.0.24.15:64470       13.249.167.13:443      CLOSE_WAIT      5832
  TCP    10.0.24.15:64473       13.249.167.13:443      CLOSE_WAIT      5832
  TCP    10.0.24.15:64476       13.249.167.13:443      CLOSE_WAIT      5832
  TCP    10.0.24.15:64884       143.204.126.79:443     CLOSE_WAIT      5832
  TCP    10.0.24.15:64887       143.204.126.79:443     CLOSE_WAIT      5832
  TCP    10.0.24.15:64891       143.204.126.79:443     CLOSE_WAIT      5832
  TCP    10.0.24.15:64894       143.204.126.79:443     CLOSE_WAIT      5832
  TCP    10.0.24.15:64897       143.204.126.79:443     CLOSE_WAIT      5832
  TCP    10.0.24.15:64900       143.204.126.79:443     CLOSE_WAIT      5832
  TCP    10.0.24.15:64998       143.204.126.10:443     CLOSE_WAIT      5832
  TCP    10.0.24.15:65001       143.204.126.10:443     CLOSE_WAIT      5832
  TCP    10.0.24.15:65004       143.204.126.75:443     CLOSE_WAIT      5832
